"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f53_early_May","BCCH","Black-capped Chickadee",,,,,,"C","C","C","C",,,,,,"C",,,,"C",,
"f53_early_May","BRCR","Brown Creeper","S","C","S","S","S","S","S","S","S","C","S","S","S","S","S","C","S","S","S","S",
"f53_early_May","NOFL","Northern Flicker",,,,,,,,,,,,,,,,,,,,"C",
"f53_early_May","RCKI","Ruby-crowned Kinglet",,,,,,,"S","C","S","S","S","S","S","S",,,,,,"S",
"f53_early_May","WIWR","Winter Wren",,,,,,,,,,,"S","S",,,"S",,,,,,
"f53_early_May","woodpecker sp.","woodpecker sp.",,,,,,,,"D",,,,,,,,,,"C",,,
"f53_early_May","WTSP","White-throated Sparrow","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S",
"f53_early_May","YBSA","Yellow-bellied Sapsucker",,,,,,,,,,,,,,,,"D","D",,,,
"f54_late_Apr","AMRO","American Robin",,,,,"C",,,,,,,,,"C",,,,,,,
"f54_late_Apr","BCCH","Black-capped Chickadee",,,,,,,,,,,,,,"S","S",,,,,,
"f54_late_Apr","bird sp.","bird sp.",,,,,,,,,"C",,,,,"C",,,,,,,"maybe BAEA"
"f54_late_Apr","BRCR","Brown Creeper","S","S",,,,"S",,"S",,,,,,,,,,,,,
"f54_late_Apr","DOWO","Downy Woodpecker",,,,,,,,,,,,,,,,,"C",,,,
"f54_late_Apr","passerine sp.","passerine sp.",,,,,,,,"C",,,,,,,,,,,,,
"f54_late_Apr","YBSA","Yellow-bellied Sapsucker",,,,,,,,,"D","D","D","D",,,"D","D",,,"D","D",
"f55_early_May","BRCR","Brown Creeper",,,,"C",,,,,,,,"C","C","C","C","C","C",,,,
"f55_early_May","BTNW","Black-throated Green Warbler",,,,,,,,,,,,,,,,"S",,"S",,,
"f55_early_May","DOWO","Downy Woodpecker","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C",,
"f55_early_May","passerine sp.","passerine sp.","C","C",,,"C","C","C",,,"C",,"C",,,,,,,"C",,"chip notes"
"f55_early_May","YRWA","Yellow-rumped Warbler",,,,,,,"S",,"S","S","S","S",,,,,,,"S","S",
"f61_late_Apr","CORA","Common Raven",,,,,,,"C",,,,,,,,"C",,,,,,
"f61_late_Apr","passerine sp.","passerine sp.",,,"C",,,,,,,,,,,,"C",,,,,,"low chip"
"f63_early_May","bird sp.","bird sp.",,,,,,,,,,,,,,,,"C",,,"C",,"BLJA?"
"f63_early_May","passerine sp.","passerine sp.",,,,,,,,,,,,"S",,,,,,,"S","S","YRWA?"
"f63_early_May","WIWR","Winter Wren",,"S","S","S",,,,,"S","S","S","S","S",,,,,,,,
"f63_early_May","woodpecker sp.","woodpecker sp.",,,,,"D","D",,,,,,,,,,,,,,,
"f64_late_Apr","bird sp.","bird sp.",,,,,,,,,,,,,,,,,,"C",,,"AMRO?"
"f64_late_Apr","BRCR","Brown Creeper","C",,"C",,"C","S","S","S",,"C","C","C",,,,"S",,,,,
"f64_late_Apr","passerine sp.","passerine sp.",,,,"C",,,,,,,,,,,,"C",,,,,
"f64_late_Apr","WIWR","Winter Wren","S","S","S","S","S","S","S","S","S","S","S","S",,,,,,,,,
"f64_late_Apr","woodpecker sp.","woodpecker sp.",,,,,,,,,,,,,,"C","C",,"C",,,,"??"
"f64_late_Apr","WTSP","White-throated Sparrow",,,,,,,,,"S",,"S",,"S","S","S","S","S","S","S",,
"f65_late_Apr","bird sp.","bird sp.",,,,,,,,,,,,,"C","C",,,,,,,"chk"
"f65_late_Apr","CANG","Canada Goose","C","C","C",,,,,,,,,,,,,,,,,,
"f65_late_Apr","GCKI","Golden-crowned Kinglet",,,"C","C","C","C","C","C","C",,,,,,,,"C","C","C","C",
"f65_late_Apr","NOFL","Northern Flicker",,,,,,,,,,,,,,,,,,,"C",,
"f65_late_Apr","passerine sp.","passerine sp.",,,,,,,,,,,,,,,"C",,,,,,
"f66_early_May","BCCH","Black-capped Chickadee",,,,,,,,,,,,,,,,,,,"S",,
"f66_early_May","BRCR","Brown Creeper",,,,,,,,,,,,,,"S","S","S","S","S","S","S",
"f66_early_May","GCKI","Golden-crowned Kinglet","C","C","C","C","C","C",,"C",,"C","C","C","C",,"C","C",,,"C",,
"f66_early_May","passerine sp.","passerine sp.",,,,,,,"C",,,"C",,,,,,,,,,,
"f66_early_May","RCKI","Ruby-crowned Kinglet","S","S","S",,,"S","S","C","C",,,,,,,,,,,,
"f67_early_May","AMCR","American Crow","C",,"C","C",,,,,,,,,,,,,,,,,
"f67_early_May","AMRO","American Robin",,,,,,,,,,,,,"S","S",,,,,,,
"f67_early_May","passerine sp.","passerine sp.",,,,,,,,,,,,,,,,,,"C","C",,"chip"
"f67_early_May","RCKI","Ruby-crowned Kinglet","S","S",,,,,,,,,,,,,,,,,,,
"f67_early_May","WIWR","Winter Wren","S",,,,,,,,,,,,,,,,,,,,
"f67_early_May","WTSP","White-throated Sparrow","S","S","S","S","S",,,,,"S","S","S","S","S","S","S","S","S",,"S",
"f67_early_May","YRWA","Yellow-rumped Warbler",,,,,,,,,,"S",,,,,,,,,,,
"f71_late_May","AMRO","American Robin",,,,,,"C",,"C",,,,,,,,,,,"C","C",
"f71_late_May","BLJA","Blue Jay",,,,,,,,"C",,,,,,,,,,,,,
"f71_late_May","GCKI","Golden-crowned Kinglet",,,,,,,,,,,,,,,,,,,,"C",
